trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;07:31:00;07:31:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A2;07:59:00;07:59:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A3;08:28:00;08:28:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A4;08:58:00;08:58:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A5;09:28:00;09:28:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A6;09:59:00;09:59:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A7;10:29:00;10:29:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A8;10:59:00;10:59:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A9;11:29:00;11:29:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A10;12:03:00;12:03:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A11;12:30:00;12:30:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A12;12:59:00;12:59:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A13;13:30:00;13:30:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A14;14:00:00;14:00:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A15;14:30:00;14:30:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A16;15:10:00;15:10:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A17;15:30:00;15:30:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A18;16:00:00;16:00:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A19;16:29:00;16:29:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A20;16:59:00;16:59:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A21;17:30:00;17:30:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A22;18:00:00;18:00:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A23;18:30:00;18:30:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A24;19:00:00;19:00:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A25;19:30:00;19:30:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A26;20:00:00;20:00:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A27;20:30:00;20:30:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A28;20:59:00;20:59:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A29;21:27:00;21:27:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A30;21:57:00;21:57:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A31;22:27:00;22:27:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A32;22:57:00;22:57:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A33;09:42:00;09:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A34;10:42:00;10:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A35;11:42:00;11:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A36;12:42:00;12:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A37;13:42:00;13:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A38;14:42:00;14:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A39;15:42:00;15:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A40;16:42:00;16:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A41;17:42:00;17:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A42;18:42:00;18:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A43;19:42:00;19:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A44;20:42:00;20:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A45;21:42:00;21:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A46;22:42:00;22:42:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A47;13:57:00;13:57:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A48;14:58:00;14:58:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A49;17:58:00;17:58:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A50;20:58:00;20:58:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
A51;22:59:00;22:59:00;32;33;La Vega-Arroyo-La Flecha-VA;0;0;0
