trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
B1;00:00:00;00:00:00;63;1;Buho;0;0;1
B1;00:56:00;00:56:00;63;40;Buho;1;0;0
B2;01:00:00;01:00:00;63;1;Buho;0;0;1
B2;01:56:00;01:56:00;63;40;Buho;1;0;0
B3;02:00:00;02:00:00;63;1;Buho;0;0;1
B3;02:52:00;02:52:00;63;40;Buho;1;0;0
B4;03:00:00;03:00:00;63;1;Buho;0;0;1
B4;03:52:00;03:52:00;63;40;Buho;1;0;0
B5;00:00:00;00:00:00;63;1;Buho;0;0;1
B5;00:56:00;00:56:00;63;40;Buho;1;0;0
B6;01:00:00;01:00:00;63;1;Buho;0;0;1
B6;01:56:00;01:56:00;63;40;Buho;1;0;0
B7;02:00:00;02:00:00;63;1;Buho;0;0;1
B7;02:52:00;02:52:00;63;40;Buho;1;0;0
B8;03:00:00;03:00:00;63;1;Buho;0;0;1
B8;03:52:00;03:52:00;63;40;Buho;1;0;0
B9;04:30:00;04:30:00;63;1;Buho;0;0;1
B9;05:22:00;05:22:00;63;40;Buho;1;0;0
