trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;07:11;07:11;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A2;07:41;07:41;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A3;08:11;08:11;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A4;08:41;08:41;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A5;09:11;09:11;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A6;09:42;09:42;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A7;10:12;10:12;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A8;10:42;10:42;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A9;11:12;11:12;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A10;11:46;11:46;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A11;12:13;12:13;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A12;12:42;12:42;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A13;13:13;13:13;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A14;13:43;13:43;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A15;14:13;14:13;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A16;14:53;14:53;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A17;15:13;15:13;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A18;15:43;15:43;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A19;16:12;16:12;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A20;16:42;16:42;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A21;17:13;17:13;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A22;17:43;17:43;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A23;18:13;18:13;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A24;18:43;18:43;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A25;19:13;19:13;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A26;19:43;19:43;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A27;20:13;20:13;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A28;20:42;20:42;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A29;21:11;21:11;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
A30;21:41;21:41;19;20;La Vega-Arroyo-La Flecha-VA;0;0;0
