trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
B1;00:38:00;00:38:00;54;28;Buho;0;0;0
B2;01:38:00;01:38:00;54;28;Buho;0;0;0
B3;02:34:00;02:34:00;54;28;Buho;0;0;0
B4;03:34:00;03:34:00;54;28;Buho;0;0;0
B5;00:38:00;00:38:00;54;28;Buho;0;0;0
B6;01:38:00;01:38:00;54;28;Buho;0;0;0
B7;02:34:00;02:34:00;54;28;Buho;0;0;0
B8;03:34:00;03:34:00;54;28;Buho;0;0;0
B9;05:04:00;05:04:00;54;28;Buho;0;0;0
R1;07:08:00;07:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R2;07:39:00;07:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R3;08:08:00;08:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R4;08:39:00;08:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R5;09:08:00;09:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R6;09:39:00;09:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R7;10:08:00;10:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R8;10:39:00;10:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R9;11:08:00;11:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R10;11:39:00;11:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R11;12:08:00;12:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R12;12:39:00;12:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R13;13:08:00;13:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R14;13:39:00;13:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R15;14:08:00;14:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R16;14:48:00;14:48:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R17;15:08:00;15:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R18;15:39:00;15:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R19;16:08:00;16:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R20;16:39:00;16:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R21;17:08:00;17:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R22;17:40:00;17:40:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R23;18:08:00;18:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R24;18:39:00;18:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R25;19:08:00;19:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R26;19:39:00;19:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R27;20:08:00;20:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R28;20:39:00;20:39:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R29;21:08:00;21:08:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R30;21:37:00;21:37:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R31;22:06:00;22:06:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R32;22:37:00;22:37:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R33;23:06:00;23:06:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R34;09:05:00;09:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R35;10:05:00;10:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R36;11:05:00;11:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R37;12:05:00;12:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R38;13:05:00;13:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R39;14:05:00;14:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R40;15:05:00;15:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R41;16:05:00;16:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R42;17:05:00;17:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R43;18:05:00;18:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R44;19:05:00;19:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R45;20:05:00;20:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R46;21:05:00;21:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R47;22:05:00;22:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R48;23:05:00;23:05:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R49;09:53:00;09:53:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R50;12:53:00;12:53:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R51;16:53:00;16:53:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R52;19:53:00;19:53:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
R53;21:53:00;21:53:00;54;27;La Flecha-Arroyo-La Vega-VA;0;0;0
