trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
B1;00:22:00;00:22:00;46;13;Buho;0;0;0
B2;01:22:00;01:22:00;46;13;Buho;0;0;0
B3;02:22:00;02:22:00;46;13;Buho;0;0;0
B4;03:22:00;03:22:00;46;13;Buho;0;0;0
B5;00:22:00;00:22:00;46;13;Buho;0;0;0
B6;01:22:00;01:22:00;46;13;Buho;0;0;0
B7;02:22:00;02:22:00;46;13;Buho;0;0;0
B8;03:22:00;03:22:00;46;13;Buho;0;0;0
B9;04:51:00;04:51:00;46;13;Buho;0;0;0
R1;06:50:00;06:50:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R2;07:23:00;07:23:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R3;07:49:00;07:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R4;08:23:00;08:23:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R5;08:49:00;08:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R6;09:22:00;09:22:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R7;09:49:00;09:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R8;10:23:00;10:23:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R9;10:49:00;10:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R10;11:23:00;11:23:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R11;11:49:00;11:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R12;12:22:00;12:22:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R13;12:49:00;12:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R14;13:23:00;13:23:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R15;13:49:00;13:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R16;14:21:00;14:21:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R17;14:49:00;14:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R18;15:22:00;15:22:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R19;15:49:00;15:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R20;16:21:00;16:21:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R21;16:50:00;16:50:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R22;17:22:00;17:22:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R23;17:50:00;17:50:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R24;18:21:00;18:21:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R25;18:50:00;18:50:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R26;19:21:00;19:21:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R27;19:50:00;19:50:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R28;20:21:00;20:21:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R29;20:50:00;20:50:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R30;21:20:00;21:20:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R31;21:49:00;21:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R32;22:20:00;22:20:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R33;22:49:00;22:49:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R34;08:48:00;08:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R35;09:48:00;09:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R36;10:48:00;10:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R37;11:48:00;11:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R38;12:48:00;12:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R39;13:48:00;13:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R40;14:48:00;14:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R41;15:48:00;15:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R42;00:00:00;00:00:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R43;17:48:00;17:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R44;18:48:00;18:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R45;19:48:00;19:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R46;20:48:00;20:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R47;21:48:00;21:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R48;22:48:00;22:48:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R49;09:35:00;09:35:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R50;12:35:00;12:35:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R51;16:35:00;16:35:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R52;19:35:00;19:35:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
R53;21:35:00;21:35:00;46;12;La Flecha-Arroyo-La Vega-VA;0;0;0
V1I;06:53:00;06:53:00;46;2;Universidades;0;0;0
V1V;14:46:00;14:46:00;46;7;Universidades;0;0;0
