trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;07:20:00;07:20:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A2;07:48:00;07:48:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A3;08:17:00;08:17:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A4;08:47:00;08:47:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A5;09:17:00;09:17:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A6;09:48:00;09:48:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A7;10:18:00;10:18:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A8;10:48:00;10:48:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A9;11:18:00;11:18:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A10;11:54:00;11:54:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A11;12:19:00;12:19:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A12;12:48:00;12:48:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A13;13:19:00;13:19:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A14;13:49:00;13:49:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A15;14:19:00;14:19:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A16;15:00:00;15:00:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A17;15:19:00;15:19:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A18;15:49:00;15:49:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A19;16:18:00;16:18:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A20;00:00:00;00:00:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A21;17:19:00;17:19:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A22;17:49:00;17:49:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A23;18:19:00;18:19:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A24;18:49:00;18:49:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A25;19:19:00;19:19:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A26;19:49:00;19:49:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A27;20:19:00;20:19:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A28;20:48:00;20:48:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A29;21:17:00;21:17:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A30;21:47:00;21:47:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A31;22:17:00;22:17:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A32;22:47:00;22:47:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A33;09:32:00;09:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A34;10:32:00;10:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A35;11:32:00;11:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A36;12:32:00;12:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A37;13:32:00;13:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A38;14:32:00;14:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A39;15:32:00;15:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A40;16:32:00;16:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A41;17:32:00;17:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A42;18:32:00;18:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A43;19:32:00;19:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A44;20:32:00;20:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A45;21:32:00;21:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A46;22:32:00;22:32:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A47;13:47:00;13:47:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A48;14:48:00;14:48:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A49;17:48:00;17:48:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A50;20:48:00;20:48:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
A51;22:49:00;22:49:00;24;25;La Vega-Arroyo-La Flecha-VA;0;0;0
B1;00:30:00;00:30:00;24;18;Buho;0;0;0
B2;01:30:00;01:30:00;24;18;Buho;0;0;0
B3;02:26:00;02:26:00;24;18;Buho;0;0;0
B4;03:26:00;03:26:00;24;18;Buho;0;0;0
B5;00:30:00;00:30:00;24;18;Buho;0;0;0
B6;01:30:00;01:30:00;24;18;Buho;0;0;0
B7;02:26:00;02:26:00;24;18;Buho;0;0;0
B8;03:26:00;03:26:00;24;18;Buho;0;0;0
B9;04:56:00;04:56:00;24;18;Buho;0;0;0
