trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;07:25:00;07:25:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A2;07:52:00;07:52:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A3;08:21:00;08:21:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A4;08:51:00;08:51:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A5;09:21:00;09:21:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A6;09:52:00;09:52:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A7;10:22:00;10:22:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A8;10:52:00;10:52:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A9;11:22:00;11:22:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A10;11:57:00;11:57:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A11;12:23:00;12:23:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A12;12:52:00;12:52:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A13;13:23:00;13:23:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A14;13:53:00;13:53:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A15;14:23:00;14:23:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A16;15:04:00;15:04:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A17;15:23:00;15:23:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A18;15:53:00;15:53:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A19;16:22:00;16:22:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A20;16:52:00;16:52:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A21;17:23:00;17:23:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A22;17:53:00;17:53:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A23;18:23:00;18:23:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A24;18:53:00;18:53:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A25;19:23:00;19:23:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A26;19:53:00;19:53:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A27;20:23:00;20:23:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A28;20:52:00;20:52:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A29;21:20:00;21:20:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A30;21:51:00;21:51:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A31;22:20:00;22:20:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A32;22:50:00;22:50:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A33;09:35:00;09:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A34;10:35:00;10:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A35;11:35:00;11:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A36;12:35:00;12:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A37;13:35:00;13:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A38;14:35:00;14:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A39;15:35:00;15:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A40;16:35:00;16:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A41;17:35:00;17:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A42;18:35:00;18:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A43;19:35:00;19:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A44;20:35:00;20:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A45;21:35:00;21:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A46;22:35:00;22:35:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A47;13:50:00;13:50:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A48;14:51:00;14:51:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A49;17:51:00;17:51:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A50;20:51:00;20:51:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
A51;22:52:00;22:52:00;27;28;La Vega-Arroyo-La Flecha-VA;0;0;0
