trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;07:40;07:40;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A2;08:07;08:07;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A3;08:36;08:36;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A4;09:06;09:06;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A5;00:00;00:00;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A6;10:07;10:07;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A7;10:37;10:37;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A8;11:07;11:07;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A9;11:37;11:37;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A10;12:11;12:11;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A11;12:38;12:38;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A12;13:07;13:07;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A13;13:38;13:38;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A14;14:08;14:08;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A15;14:38;14:38;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A16;15:18;15:18;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A17;15:38;15:38;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A18;16:08;16:08;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A19;16:37;16:37;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A20;17:07;17:07;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A21;17:38;17:38;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A22;18:08;18:08;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A23;18:38;18:38;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A24;19:08;19:08;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A25;19:38;19:38;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A26;20:08;20:08;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A27;20:38;20:38;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A28;21:07;21:07;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A29;21:35;21:35;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A30;22:05;22:05;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A31;22:35;22:35;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A32;23:05;23:05;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A33;09:50;09:50;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A34;10:50;10:50;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A35;11:50;11:50;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A36;12:50;12:50;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
A37;13:50;13:50;36;37;La Vega-Arroyo-La Flecha-VA;1;0;0
