trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;07:05;07:05;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A2;07:35;07:35;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A3;08:06;08:06;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A4;08:36;08:36;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A5;09:07;09:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A6;09:37;09:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A7;10:07;10:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A8;10:37;10:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A9;11:07;11:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A10;11:42;11:42;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A11;12:07;12:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A12;12:37;12:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A13;13:07;13:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A14;13:37;13:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A15;14:07;14:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A16;14:47;14:47;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A17;15:07;15:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A18;15:37;15:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A19;16:07;16:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A20;16:37;16:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A21;17:07;17:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A22;17:37;17:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A23;18:07;18:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A24;18:37;18:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A25;19:07;19:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A26;19:37;19:37;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A27;20:07;20:07;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A28;20:36;20:36;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A29;21:06;21:06;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A30;00:00;00:00;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A31;22:06;22:06;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A32;22:36;22:36;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A33;09:21;09:21;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A34;10:21;10:21;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A35;11:21;11:21;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A36;12:21;12:21;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A37;13:21;13:21;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A38;14:21;14:21;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
A39;15:21;15:21;52;15;La Vega-Arroyo-La Flecha-VA;0;0;0
