trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;06:54:00;06:54:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A2;07:24:00;07:24:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A3;07:54:00;07:54:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A4;08:24:00;08:24:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A5;08:55:00;08:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A6;09:25:00;09:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A7;09:55:00;09:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A8;10:25:00;10:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A9;10:55:00;10:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A10;11:27:00;11:27:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A11;11:55:00;11:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A12;12:25:00;12:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A13;12:55:00;12:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A14;13:25:00;13:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A15;13:55:00;13:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A16;14:29:00;14:29:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A17;14:55:00;14:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A18;15:25:00;15:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A19;15:55:00;15:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A20;16:25:00;16:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A21;16:55:00;16:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A22;17:25:00;17:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A23;17:55:00;17:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A24;18:25:00;18:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A25;18:55:00;18:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A26;19:25:00;19:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A27;19:55:00;19:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A28;20:25:00;20:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A29;20:55:00;20:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A30;21:25:00;21:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A31;21:55:00;21:55:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A32;22:25:00;22:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A33;09:10:00;09:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A34;10:10:00;10:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A35;11:10:00;11:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A36;12:10:00;12:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A37;13:10:00;13:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A38;14:10:00;14:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A39;15:10:00;15:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A40;16:10:00;16:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A41;17:10:00;17:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A42;18:10:00;18:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A43;19:10:00;19:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A44;20:10:00;20:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A45;21:10:00;21:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A46;22:10:00;22:10:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A47;10:25:00;10:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A48;14:25:00;14:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A49;17:25:00;17:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A50;20:25:00;20:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
A51;22:25:00;22:25:00;4;4;La Vega-Arroyo-La Flecha-VA;0;0;0
V1V;14:40:00;14:40:00;4;5;Universidades;0;0;0
