trip_id;arrival_time;departure_time;stop_id;stop_sequence
B1;00:14:00;00:14:00;39;5
B2;01:14:00;01:14:00;39;5
B3;02:14:00;02:14:00;39;5
B4;03:14:00;03:14:00;39;5
B5;00:14:00;00:14:00;39;5
B6;01:14:00;01:14:00;39;5
B7;02:14:00;02:14:00;39;5
B8;03:14:00;03:14:00;39;5
B9;04:44:00;04:44:00;39;5
R1;06:36:12;06:36:12;39;4
R2;07:06:12;07:06:12;39;4
R3;07:37:15;07:37:15;39;4
R4;08:07:00;08:07:00;39;4
R5;08:37:00;08:37:00;39;4
R6;09:08:30;09:08:30;39;4
R7;09:38:30;09:38:30;39;4
R8;10:11:15;10:11:15;39;4
R9;10:37:36;10:37:36;39;4
R10;11:07:45;11:07:45;39;4
R11;11:40:30;11:40:30;39;4
R12;12:11:00;12:11:00;39;4
R13;12:40:00;12:40:00;39;4
R14;13:08:48;13:08:48;39;4
R15;13:40:45;13:40:45;39;4
R16;14:13:15;14:13:15;39;4
R17;14:46:40;14:46:40;39;4
R18;15:10:27;15:10:27;39;4
R19;15:40:27;15:40:27;39;4
R20;16:08:40;16:08:40;39;4
R21;16:38:15;16:38:15;39;4
R22;17:11:00;17:11:00;39;4
R23;17:38:24;17:38:24;39;4
R24;18:08:12;18:08:12;39;4
R25;18:39:03;18:39:03;39;4
R26;19:09:45;19:09:45;39;4
R27;19:40:40;19:40:40;39;4
R28;20:09:12;20:09:12;39;4
R29;20:39:12;20:39:12;39;4
R30;21:08:15;21:08:15;39;4
R31;21:37:00;21:37:00;39;4
R32;22:07:00;22:07:00;39;4
R33;22:37:30;22:37:30;39;4
R34;08:39:00;08:39:00;39;4
R35;09:39:00;09:39:00;39;4
R36;10:40:00;10:40:00;39;4
R37;11:40:00;11:40:00;39;4
R38;12:40:00;12:40:00;39;4
R39;13:40:00;13:40:00;39;4
R40;14:37:00;14:37:00;39;4
R41;15:37:00;15:37:00;39;4
R42;16:37:00;16:37:00;39;4
R43;17:37:00;17:37:00;39;4
R44;18:39:00;18:39:00;39;4
R45;19:39:00;19:39:00;39;4
R46;20:39:00;20:39:00;39;4
R47;21:37:00;21:37:00;39;4
R48;22:37:00;22:37:00;39;4
R49;09:22:00;09:22:00;39;4
R50;12:22:00;12:22:00;39;4
R51;16:23:00;16:23:00;39;4
R52;19:22:30;19:22:30;39;4
R53;21:22:00;21:22:00;39;4
