trip_id;arrival_time;departure_time;stop_id;stop_sequence
B1;00:32:00;00:32:00;49;20
B2;01:32:00;01:32:00;49;20
B3;02:32:00;02:32:00;49;20
B4;03:32:00;03:32:00;49;20
B5;00:32:00;00:32:00;49;20
B6;01:32:00;01:32:00;49;20
B7;02:32:00;02:32:00;49;20
B8;03:32:00;03:32:00;49;20
B9;05:02:00;05:02:00;49;20
R1;06:49:36;06:49:36;49;19
R2;07:19:36;07:19:36;49;19
R3;07:53:30;07:53:30;49;19
R4;08:28:10;08:28:10;49;19
R5;08:55:00;08:55:00;49;19
R6;09:26:45;09:26:45;49;19
R7;09:56:45;09:56:45;49;19
R8;10:26:45;10:26:45;49;19
R9;10:55:48;10:55:48;49;19
R10;11:24:15;11:24:15;49;19
R11;11:59:30;11:59:30;49;19
R12;12:30:30;12:30:30;49;19
R13;13:00:00;13:00:00;49;19
R14;13:28:24;13:28:24;49;19
R15;14:01:45;14:01:45;49;19
R16;14:37:15;14:37:15;49;19
R17;15:09:00;15:09:00;49;19
R18;15:29:12;15:29:12;49;19
R19;15:59:12;15:59:12;49;19
R20;16:27:50;16:27:50;49;19
R21;16:55:00;16:55:00;49;19
R22;17:29:20;17:29:20;49;19
R23;17:57:36;17:57:36;49;19
R24;18:25:11;18:25:11;49;19
R25;18:59:33;18:59:33;49;19
R26;19:28:15;19:28:15;49;19
R27;20:01:20;20:01:20;49;19
R28;20:28:00;20:28:00;49;19
R29;20:57:48;20:57:48;49;19
R30;21:27:15;21:27:15;49;19
R31;21:54:15;21:54:15;49;19
R32;22:24:15;22:24:15;49;19
R33;22:53:30;22:53:30;49;19
R34;08:54:00;08:54:00;49;19
R35;09:53:00;09:53:00;49;19
R36;10:56:00;10:56:00;49;19
R37;11:56:00;11:56:00;49;19
R38;12:56:00;12:56:00;49;19
R39;14:02:00;14:02:00;49;19
R40;15:02:00;15:02:00;49;19
R41;16:02:00;16:02:00;49;19
R42;17:02:00;17:02:00;49;19
R43;18:02:00;18:02:00;49;19
R44;18:59:00;18:59:00;49;19
R45;19:59:00;19:59:00;49;19
R46;20:59:00;20:59:00;49;19
R47;21:59:00;21:59:00;49;19
R48;22:59:00;22:59:00;49;19
R49;09:38:00;09:38:00;49;19
R50;12:38:30;12:38:30;49;19
R51;16:41:00;16:41:00;49;19
R52;19:41:00;19:41:00;49;19
R53;21:38:30;21:38:30;49;19
