trip_id;arrival_time;departure_time;stop_id;stop_sequence
A1;07:23:48;07:23:48;28;29
A2;07:51:15;07:51:15;28;29
A3;08:21:15;08:21:15;28;29
A4;08:51:15;08:51:15;28;29
A5;09:27:15;09:27:15;28;29
A6;09:55:36;09:55:36;28;29
A7;10:25:00;10:25:00;28;29
A8;10:54:15;10:54:15;28;29
A9;11:22:00;11:22:00;28;29
A10;11:55:30;11:55:30;28;29
A11;12:24:34;12:24:34;28;29
A12;12:54:15;12:54:15;28;29
A13;13:26:00;13:26:00;28;29
A14;14:04:00;14:04:00;28;29
A15;14:31:15;14:31:15;28;29
A16;15:02:36;15:02:36;28;29
A17;15:30:45;15:30:45;28;29
A18;15:56:30;15:56:30;28;29
A19;16:56:00;16:56:00;28;29
A20;16:56:00;16:56:00;28;29
A21;17:26:00;17:26:00;28;29
A22;17:56:15;17:56:15;28;29
A23;18:26:45;18:26:45;28;29
A24;19:02:00;19:02:00;28;29
A25;19:27:00;19:27:00;28;29
A26;19:55:12;19:55:12;28;29
A27;20:28:45;20:28:45;28;29
A28;20:55:45;20:55:45;28;29
A29;00:00:00;00:00:00;28;29
A30;21:54:15;21:54:15;28;29
A31;22:24:15;22:24:15;28;29
A32;22:54:15;22:54:15;28;29
A33;00:00:00;00:00:00;28;29
A34;10:37:00;10:37:00;28;29
A35;11:37:00;11:37:00;28;29
A36;13:51:00;13:51:00;28;29
A37;13:42:09;13:42:09;28;29
A38;14:47:00;14:47:00;28;29
A39;15:39:00;15:39:00;28;29
A40;16:39:00;16:39:00;28;29
A41;17:39:00;17:39:00;28;29
A42;18:52:00;18:52:00;28;29
A43;19:47:00;19:47:00;28;29
A44;20:46:00;20:46:00;28;29
A45;21:46:00;21:46:00;28;29
A46;22:46:00;22:46:00;28;29
A47;10:52:30;10:52:30;28;29
A48;14:52:30;14:52:30;28;29
A49;17:56:00;17:56:00;28;29
A50;20:52:00;20:52:00;28;29
A51;22:51:00;22:51:00;28;29
