trip_id;arrival_time;departure_time;stop_id;stop_sequence
B1;00:44:00;00:44:00;60;35
B2;01:44:00;01:44:00;60;35
B3;02:44:00;02:44:00;60;35
B4;03:44:00;03:44:00;60;35
B5;00:44:00;00:44:00;60;35
B6;01:44:00;01:44:00;60;35
B7;02:44:00;02:44:00;60;35
B8;03:44:00;03:44:00;60;35
B9;05:14:00;05:14:00;60;35
R1;07:08:24;07:08:24;60;34
R2;07:38:24;07:38:24;60;34
R3;08:16:15;08:16:15;60;34
R4;08:49:12;08:49:12;60;34
R5;09:13:30;09:13:30;60;34
R6;09:46:15;09:46:15;60;34
R7;10:16:15;10:16:15;60;34
R8;10:42:30;10:42:30;60;34
R9;11:15:36;11:15:36;60;34
R10;11:42:50;11:42:50;60;34
R11;12:17:30;12:17:30;60;34
R12;12:48:00;12:48:00;60;34
R13;13:19:45;13:19:45;60;34
R14;13:46:12;13:46:12;60;34
R15;14:20:15;14:20:15;60;34
R16;14:57:00;14:57:00;60;34
R17;15:26:00;15:26:00;60;34
R18;15:46:32;15:46:32;60;34
R19;16:16:32;16:16:32;60;34
R20;16:45:05;16:45:05;60;34
R21;17:15:45;17:15:45;60;34
R22;17:49:40;17:49:40;60;34
R23;18:17:24;18:17:24;60;34
R24;18:46:36;18:46:36;60;34
R25;19:20:18;19:20:18;60;34
R26;19:46:30;19:46:30;60;34
R27;20:19:40;20:19:40;60;34
R28;20:46:00;20:46:00;60;34
R29;21:15:00;21:15:00;60;34
R30;21:45:30;21:45:30;60;34
R31;22:10:30;22:10:30;60;34
R32;22:40:30;22:40:30;60;34
R33;23:07:30;23:07:30;60;34
R34;09:11:00;09:11:00;60;34
R35;10:09:00;10:09:00;60;34
R36;11:15:00;11:15:00;60;34
R37;12:15:00;12:15:00;60;34
R38;13:15:00;13:15:00;60;34
R39;14:20:00;14:20:00;60;34
R40;15:23:00;15:23:00;60;34
R41;16:23:00;16:23:00;60;34
R42;17:23:00;17:23:00;60;34
R43;18:23:00;18:23:00;60;34
R44;19:23:00;19:23:00;60;34
R45;20:23:00;20:23:00;60;34
R46;21:23:00;21:23:00;60;34
R47;22:20:00;22:20:00;60;34
R48;23:20:00;23:20:00;60;34
R49;09:57:00;09:57:00;60;34
R50;12:57:00;12:57:00;60;34
R51;17:00:00;17:00:00;60;34
R52;19:58:00;19:58:00;60;34
R53;21:53:30;21:53:30;60;34
V1I;07:09:00;07:09:00;60;9
V1V;15:00:00;15:00:00;60;14
