trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
R1;06:43;06:43;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R2;07:15;07:15;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R3;07:41;07:41;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R4;08:15;08:15;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R5;08:41;08:41;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R6;09:15;09:15;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R7;09:42;09:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R8;10:15;10:15;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R9;10:42;10:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R10;11:14;11:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R11;11:42;11:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R12;12:15;12:15;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R13;12:42;12:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R14;13:14;13:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R15;13:42;13:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R16;14:14;14:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R17;14:42;14:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R18;15:14;15:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R19;15:42;15:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R20;16:14;16:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R21;16:43;16:43;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R22;17:14;17:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R23;17:43;17:43;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R24;18:14;18:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R25;18:43;18:43;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R26;19:14;19:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R27;19:43;19:43;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R28;20:14;20:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R29;20:43;20:43;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R30;21:14;21:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R31;21:43;21:43;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R32;22:14;22:14;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R33;22:43;22:43;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R34;08:42;08:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R35;09:42;09:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R36;10:42;10:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R37;11:42;11:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R38;12:42;12:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R39;13:42;13:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R40;14:42;14:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R41;15:42;15:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R42;16:42;16:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R43;17:42;17:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R44;18:42;18:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R45;19:42;19:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R46;20:42;20:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R47;21:42;21:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R48;22:42;22:42;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R49;09:28;09:28;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R50;12:28;12:28;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R51;16:28;16:28;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R52;19:28;19:28;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
R53;21:28;21:28;41;6;La Flecha-Arroyo-La Vega-VA;0;0;0
