trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
B1;00:40;00:40;56;31;Buho;0;0;0
B2;01:40;01:40;56;31;Buho;0;0;0
B3;02:36;02:36;56;31;Buho;0;0;0
B4;03:36;03:36;56;31;Buho;0;0;0
B5;00:40;00:40;56;31;Buho;0;0;0
B6;01:40;01:40;56;31;Buho;0;0;0
B7;02:36;02:36;56;31;Buho;0;0;0
B8;03:36;03:36;56;31;Buho;0;0;0
B9;05:06;05:06;56;31;Buho;0;0;0
R1;07:14;07:14;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R2;07:44;07:44;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R3;08:16;08:16;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R4;08:44;08:44;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R5;09:16;09:16;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R6;09:44;09:44;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R7;10:16;10:16;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R8;10:43;10:43;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R9;11:16;11:16;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R10;11:44;11:44;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R11;12:16;12:16;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R12;12:44;12:44;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R13;13:15;13:15;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R14;13:44;13:44;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R15;14:15;14:15;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R16;14:53;14:53;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R17;15:15;15:15;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R18;15:45;15:45;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R19;16:15;16:15;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R20;16:44;16:44;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R21;17:14;17:14;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R22;17:46;17:46;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R23;18:14;18:14;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R24;18:45;18:45;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R25;19:14;19:14;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R26;19:45;19:45;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R27;20:14;20:14;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R28;20:45;20:45;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R29;21:14;21:14;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R30;21:42;21:42;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R31;22:11;22:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R32;22:42;22:42;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R33;23:12;23:12;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R34;09:11;09:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R35;10:11;10:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R36;11:11;11:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R37;12:11;12:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R38;13:11;13:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R39;14:11;14:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R40;15:11;15:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R41;16:11;16:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R42;17:11;17:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R43;18:11;18:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R44;19:11;19:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R45;20:11;20:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R46;21:11;21:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R47;22:11;22:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R48;23:11;23:11;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R49;09:59;09:59;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R50;12:59;12:59;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R51;16:59;16:59;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R52;19:59;19:59;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
R53;21:59;21:59;56;30;La Flecha-Arroyo-La Vega-VA;0;0;0
