trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;07:18:00;07:18:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A2;07:46:00;07:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A3;08:15:00;08:15:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A4;08:45:00;08:45:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A5;09:15:00;09:15:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A6;09:46:00;09:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A7;10:16:00;10:16:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A8;10:46:00;10:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A9;11:16:00;11:16:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A10;11:52:00;11:52:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A11;12:17:00;12:17:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A12;12:46:00;12:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A13;13:17:00;13:17:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A14;13:47:00;13:47:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A15;14:17:00;14:17:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A16;14:58:00;14:58:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A17;15:17:00;15:17:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A18;15:47:00;15:47:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A19;16:16:00;16:16:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A20;16:46:00;16:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A21;17:17:00;17:17:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A22;17:47:00;17:47:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A23;18:17:00;18:17:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A24;18:47:00;18:47:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A25;19:17:00;19:17:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A26;19:47:00;19:47:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A27;20:17:00;20:17:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A28;20:46:00;20:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A29;21:15:00;21:15:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A30;21:45:00;21:45:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A31;22:15:00;22:15:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A32;22:45:00;22:45:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A33;09:30:00;09:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A34;10:30:00;10:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A35;11:30:00;11:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A36;12:30:00;12:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A37;13:30:00;13:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A38;14:30:00;14:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A39;15:30:00;15:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A40;16:30:00;16:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A41;17:30:00;17:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A42;18:30:00;18:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A43;19:30:00;19:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A44;20:30:00;20:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A45;21:30:00;21:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A46;22:30:00;22:30:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A47;13:45:00;13:45:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A48;14:46:00;14:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A49;17:46:00;17:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A50;20:46:00;20:46:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
A51;22:47:00;22:47:00;23;24;La Vega-Arroyo-La Flecha-VA;0;0;0
B1;00:28:00;00:28:00;23;17;Buho;0;0;0
B2;01:28:00;01:28:00;23;17;Buho;0;0;0
B5;00:28:00;00:28:00;23;17;Buho;0;0;0
B6;01:28:00;01:28:00;23;17;Buho;0;0;0
R1;06:56:00;06:56:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R2;07:28:00;07:28:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R3;07:54:00;07:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R4;08:28:00;08:28:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R5;08:54:00;08:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R6;09:28:00;09:28:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R7;09:54:00;09:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R8;10:28:00;10:28:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R9;10:54:00;10:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R10;11:29:00;11:29:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R11;11:55:00;11:55:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R12;12:28:00;12:28:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R13;12:55:00;12:55:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R14;13:28:00;13:28:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R15;13:55:00;13:55:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R16;14:34:00;14:34:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R17;14:55:00;14:55:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R18;15:28:00;15:28:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R19;15:55:00;15:55:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R20;16:27:00;16:27:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R21;16:56:00;16:56:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R22;17:28:00;17:28:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R23;17:56:00;17:56:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R24;18:27:00;18:27:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R25;18:56:00;18:56:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R26;19:27:00;19:27:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R27;19:56:00;19:56:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R28;20:27:00;20:27:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R29;20:56:00;20:56:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R30;21:25:00;21:25:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R31;21:54:00;21:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R32;22:26:00;22:26:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R33;22:55:00;22:55:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R34;08:54:00;08:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R35;09:54:00;09:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R36;10:54:00;10:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R37;11:54:00;11:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R38;12:54:00;12:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R39;13:54:00;13:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R40;14:54:00;14:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R41;15:54:00;15:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R42;16:54:00;16:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R43;17:54:00;17:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R44;18:54:00;18:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R45;19:54:00;19:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R46;20:54:00;20:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R47;21:54:00;21:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R48;22:54:00;22:54:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R49;09:41:00;09:41:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R50;12:41:00;12:41:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R51;16:41:00;16:41:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R52;19:41:00;19:41:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
R53;21:41:00;21:41:00;23;16;La Flecha-Arroyo-La Vega-VA;0;0;0
