trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
B1;00:20:00;00:20:00;44;11;Buho;0;0;0
B2;01:20:00;01:20:00;44;11;Buho;0;0;0
B3;02:20:00;02:20:00;44;11;Buho;0;0;0
B4;03:20:00;03:20:00;44;11;Buho;0;0;0
B5;00:20:00;00:20:00;44;11;Buho;0;0;0
B6;01:20:00;01:20:00;44;11;Buho;0;0;0
B7;02:20:00;02:20:00;44;11;Buho;0;0;0
B8;03:20:00;03:20:00;44;11;Buho;0;0;0
B9;04:49:00;04:49:00;44;11;Buho;0;0;0
R1;06:48:00;06:48:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R2;07:20:00;07:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R3;07:47:00;07:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R4;08:20:00;08:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R5;08:47:00;08:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R6;09:20:00;09:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R7;09:47:00;09:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R8;10:20:00;10:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R9;10:47:00;10:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R10;11:20:00;11:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R11;11:47:00;11:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R12;12:20:00;12:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R13;12:47:00;12:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R14;13:20:00;13:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R15;13:47:00;13:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R16;14:19:00;14:19:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R17;14:47:00;14:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R18;15:20:00;15:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R19;15:47:00;15:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R20;16:19:00;16:19:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R21;00:00:00;00:00:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R22;17:20:00;17:20:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R23;17:48:00;17:48:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R24;18:19:00;18:19:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R25;18:48:00;18:48:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R26;19:19:00;19:19:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R27;19:48:00;19:48:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R28;20:19:00;20:19:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R29;20:48:00;20:48:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R30;21:18:00;21:18:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R31;21:47:00;21:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R32;22:18:00;22:18:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R33;22:47:00;22:47:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R34;08:46:00;08:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R35;09:46:00;09:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R36;10:46:00;10:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R37;11:46:00;11:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R38;12:46:00;12:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R39;13:46:00;13:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R40;14:46:00;14:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R41;15:46:00;15:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R42;16:46:00;16:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R43;17:46:00;17:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R44;18:46:00;18:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R45;19:46:00;19:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R46;20:46:00;20:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R47;21:46:00;21:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R48;22:46:00;22:46:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R49;09:33:00;09:33:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R50;12:33:00;12:33:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R51;16:33:00;16:33:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R52;19:33:00;19:33:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
R53;21:33:00;21:33:00;44;10;La Flecha-Arroyo-La Vega-VA;0;0;0
